Date,Description,Amount,Extended Details,Doing Business As,Parent Company,Street Address,"City, State Zip",Reference,Category
6/24/17,"PILOT 00912 - WOOD RIVER, NE",34.39," Additional Information: AUTO FUEL DISPENSER 
 ",PILOT,,"11775 S NEBRASKA HWY 11
WOOD RIVER
NE","68883-9509
UNITED STATES",3.20172E+17,Transportation-Fuel
6/24/17,"SEI 22537 92253798 - DENVER, CO",33.45," Additional Information: SEI 22537 
 ",PHILLIPS 66-CONOCO-76 GAS,,"411 S KEELER
BARTLESVILLE
OK","74004
UNITED STATES",3.20172E+17,Transportation-Fuel
6/25/17,"EXXONMOBIL 9747 - WHEATON, IL",26.38," Additional Information: 630-260-0620 
  Description 
  GAS/SERVICES 
 ",EXXONMOBIL CAT OUTSIDE,,"CUST SVC 1 800 243-9966
-
KANSAS CITY
MO","64141
UNITED STATES",3.20172E+17,Transportation-Fuel
6/25/17,"GINOS EAST PIZZERIA 084890016885662 - WHEATON, IL",83.1," Additional Information: 6305881010 
 ",GINO'S EAST,,"315 W FRONT ST
WHEATON
IL","60187-5015
UNITED STATES",3.20172E+17,Restaurant-Restaurant
6/25/17,"IL TOLLWAY - WEB - UNPD T 000009021 - DOWNERS GROVE, IL",3.6," Additional Information: 8008247277 
  Description 
  REFER TO RECEIPT 
 ",IL TOLLWAY-WEB-UNPD TOLLS,,"2700 OGDEN AVENUE
DOWNERS GROVE
IL","60515
UNITED STATES",3.20172E+17,Transportation-Tolls & Fees
6/26/17,"St. Kilda - Des Moines, IA",34," Additional Information: 515-721-7267 
  FOOD  $34.00 
 ",ST KILDA,,"300 SW 5TH ST.
DES MOINES
IA","50309-4630
UNITED STATES",3.20172E+17,Restaurant-Restaurant
6/27/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",32.18," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
6/28/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",22.95," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
6/28/17,"AMAZON.COM - AMZN.COM/BILL, WA",21.08," Additional Information: MERCHANDISE 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
6/28/17,"AMAZON.COM - AMZN.COM/BILL, WA",44.49," Additional Information: MERCHANDISE 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
6/28/17,"CHIPOTLE 2638 0076 - WARREN, MI",8.8," Additional Information: 303-595-4000 
  Description 
  FAST FOOD RESTAURAN 
 ",Chipotle Mexican Grill,,"30229 MOUND RD
WARREN
MI","48092
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
6/28/17,"MEIJER - WARREN, MI",34," Additional Information: 108000 48092 
 ",MEIJER,,"29505 MOUND RD
WARREN
MI","48092
UNITED STATES",3.20172E+17,Merchandise & Supplies-Groceries
6/28/17,ONLINE PAYMENT - THANK YOU,"-2,307.61",,,,,,3.20172E+17,
6/28/17,"SPEEDWAY 08861 STE 542929809088610 - STERLING HEIG, MI",39.25," Additional Information: 5869790181 
  Description  Price 
  AUTOMATED FUEL DISP  $39.25 
 ",SPEEDWAY,,"500 SPEEDWAY DR
ENON
OH","45323-1056
UNITED STATES",3.20172E+17,Transportation-Fuel
6/28/17,WORLDNOMADSUS - BERKELEY,171.98," Additional Information: TRAVEL AGENCY 
 ",WORLD NOMADS GROUP USD,,"SUBMISSIONS USD
UNITED STATE
000","00000
UNITED STATES",3.20172E+17,Travel-Travel Agencies
6/29/17,"CVS PHARMACY - NORTHVILLE, MI",24.36," Additional Information: 8007467287 
  PHARMACIES 
 ",CVS PHARMACY,,"16855 HAGGERTY RD
NORTHVILLE
MI","48168
UNITED STATES",3.20172E+17,Merchandise & Supplies-Pharmacies
6/29/17,"IL TOLLWAY - WEB - UNPD T 000009021 - DOWNERS GROVE, IL",7.6," Additional Information: 8008247277 
  Description 
  REFER TO RECEIPT 
 ",IL TOLLWAY-WEB-UNPD TOLLS,,"2700 OGDEN AVENUE
DOWNERS GROVE
IL","60515
UNITED STATES",3.20172E+17,Transportation-Tolls & Fees
6/29/17,"NOODLES & CO - NORTHVILLE, MI",18.66," Additional Information: FAST FOOD RESTAURANT 
 ",Noodles & Company,,"17931 HAGGERTY RD
NORTHVILLE
MI","48168-9513
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
6/29/17,"REI #58 NORTHVILLE - NORTHVILLE, MI",119.27," Additional Information: SPORTING GOODS STORE 
 ",REI,,"17559 HAGGERTY RD
NORTHVILLE
MI","48168
UNITED STATES",3.20172E+17,Merchandise & Supplies-Sporting Goods Stores
6/30/17,"AMAZON.COM - AMZN.COM/BILL, WA",-44.49," Additional Information: DIRECT MKTG MISC 
 ",AMAZON.COM,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
6/30/17,"STANFORD ATHL TICKET OFF 0572 - STANFORD, CA",17," Additional Information: 6539876788 48375 
  MAIL ORDER & COD 
 ",STANFORD UNIVERSITY ATHLETICS,,"641 CAMPUS DR
STANFORD
CA","94305
UNITED STATES",3.20172E+17,Entertainment-Other Entertainment
7/1/17,"AMAZON MKTPLACE PMTS - AMZN.COM/BILL, WA",62.16," Additional Information: BOOK STORES 
 ",Amazon Marketplace,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
7/1/17,"REI #58 NORTHVILLE - NORTHVILLE, MI",87.65," Additional Information: SPORTING GOODS STORE 
 ",REI,,"17559 HAGGERTY RD
NORTHVILLE
MI","48168
UNITED STATES",3.20172E+17,Merchandise & Supplies-Sporting Goods Stores
7/1/17,"TARGET WEST LIVONIA 0872 - LIVONIA, MI",41.56," Additional Information: DISCOUNT STORE 
 ",TARGET,,"20100 HAGGERTY RD
LIVONIA
MI","48152
UNITED STATES",3.20172E+17,Merchandise & Supplies-Wholesale Stores
7/1/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",19.88," Additional Information: ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
7/2/17,"BEST BUY MHT 004176 29500004176 - NOVI, MI",6.35," Additional Information: 888-BESTBUY 
  Description 
  ELEC SLS 
 ",BEST BUY,,"21051 HAGGERTY RD
NOVI
MI","48375
UNITED STATES",3.20172E+17,Merchandise & Supplies-Electronics Stores
7/2/17,"CVS PHARMACY - NORTHVILLE, MI",3.49," Additional Information: 8007467287 
  PHARMACIES 
 ",CVS PHARMACY,,"39350 9 MILE RD
NORTHVILLE
MI","48167
UNITED STATES",3.20172E+17,Merchandise & Supplies-Pharmacies
7/3/17,"DELTA ATL E15 619525 57960619525 - HAPEVILLE, GA",4," Additional Information: 404-5590605 
  FOOD/BEVERAGE  $4.00 
 ",DLTSKYCLB ATLE15 49870008,,"801 VIRGINIA AVE
HAPEVILLE
GA","30354
UNITED STATES OF AMERICA (THE)",3.20172E+17,Restaurant-Restaurant
7/4/17,DELTA AIR LINES - ATLANTA,29," Additional Information: DELTA AIR LINES 
  From:  To:  Carrier:  Class: 
  N/A  N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
     N/A  YY  00 
  Ticket Number: 0060189540174 
  Passenger Name: PRASAD/VIKRAM S 
  Document Type: CLUB MEMBERSHIP FEE 
 ",DELTA AIR LINES,,"1030 DELTA BLVD
DEPT 680
ATLANTA
GA","30354
UNITED STATES",3.20172E+17,Travel-Airline
7/4/17,PROMOCIONES TURISTICAS DEL SUR - AREQUIPA,36.91," Additional Information: CHARITABLE ORG 
 Foreign Spend Amount:120.00 Peruvian Nuevos Sols
",MONASTERIO DE SANTA CATALINA,,"CAL SANTA CATALINA Num 301
AREQUIPA",PERU,3.20172E+17,Other-Charities
7/4/17,SUBWAY - CALLAO,6.92," Additional Information: FAST FOOD RESTAURANT 
 Foreign Spend Amount:22.50 Peruvian Nuevos Sols
",CAPITAN,,"CA MZ 223 LT 11
PIURA
PIURA",PERU,3.20172E+17,Restaurant-Bar & Café
7/6/17,CASA DE AVILA - AREQUIPA,1.85," Arrival Date  Departure Date 
  07/06/17  07/06/17 
  00000000 
 Foreign Spend Amount:6.00 Peruvian Nuevos Sols
",CASA DE AVILA,,"AV SAN MARTIN 116
AREQUIPA
AREQUIPA",PERU,3.20172E+17,Travel-Lodging
7/6/17,URINSAYA - CHIVAY,63.9," Additional Information: RESTAURANT 
 Foreign Spend Amount:208.00 Peruvian Nuevos Sols
",URINSAYA,,"CAL FRANCISCO BOLOGNESI Nº 1026
CHIVAY",PERU,3.20172E+17,Restaurant-Restaurant
7/15/17,SPOTIFY USA - NEW YORK,9.99," Additional Information: DIRECT MKTG MISC 
 ",SPOTIFY MUSIC SUBS USD RECURRING,,"4TH, 25 ARGYLL ST
LONDON","W1F 7TU
UNITED KINGDOM OF GB AND NI",3.20172E+17,Merchandise & Supplies-Music & Video
7/18/17,BARROS - S.P. DE ATACA,73.81," Arrival Date  Departure Date 
  07/18/17  01/01/01 
  00000000 
 Foreign Spend Amount:48.400 Chilean Pesos
",BARROS,,"LICANCABUR 252
S.P. DE ATACAMA",CHILE,3.20172E+17,Travel-Lodging
7/20/17,BRIXTON CAFE - SANTIAGO,23.36," Additional Information: RESTAURANT 
 Foreign Spend Amount:15.200 Chilean Pesos
",BRIXTON CAFE,,SANTIAGO,CHILE,3.20172E+17,Restaurant-Restaurant
7/20/17,MAXXIMIZA S A - SANTIAGO,33.71,"    Location  Date 
  Rental:  SANTIAGO  17/07/20 
  Return:  UNAVAILABLE  17/07/20 
  Agreement Number: UNAVAILABL 
 Foreign Spend Amount:22.000 Chilean Pesos
",MAXXIMIZA S A,,"CALLE JEAN MERMOZ 2151
SANTIAGO",CHILE,3.20172E+17,Transportation-Parking Charges
7/20/17,MAXXIMIZA S A - SANTIAGO,-137.91,"    Location  Date 
  Rental:  SANTIAGO  17/07/20 
  Return:  UNAVAILABLE  17/07/20 
  Agreement Number: UNAVAILABL 
 Foreign Spend Amount:90.000 Chilean Pesos
",MAXXIMIZA S A,,"CALLE JEAN MERMOZ 2151
SANTIAGO",CHILE,3.20172E+17,Transportation-Parking Charges
7/20/17,MAXXIMIZA S A - SANTIAGO,137.91,"    Location  Date 
  Rental:  SANTIAGO  17/07/20 
  Return:  UNAVAILABLE  17/07/20 
  Agreement Number: UNAVAILABL 
 Foreign Spend Amount:90.000 Chilean Pesos
",MAXXIMIZA S A,,"CALLE JEAN MERMOZ 2151
SANTIAGO",CHILE,3.20172E+17,Transportation-Parking Charges
7/20/17,PEZ TORO SANTIAGO - SANTIAGO,95.16," Additional Information: RESTAURANT 
 Foreign Spend Amount:61.930 Chilean Pesos
",PEZ TORO SANTIAGO,,"CALLE JOSE VICTORINO LASTARRIA 70 6 2
SANTIAGO",CHILE,3.20172E+17,Restaurant-Restaurant
7/21/17,BAR THE CLINIC - SANTIAGO,42.78," Additional Information: BAR/NIGHTCLUB 
 Foreign Spend Amount:27.830 Chilean Pesos
",BAR THE CLINIC,,"JORGE WASHINGTON 58 SN
SANTIAGO",CHILE,3.20172E+17,Restaurant-Bar & Café
7/21/17,SUR CAFE - SANTIAGO,21.47," Additional Information: RESTAURANT 
 Foreign Spend Amount:13.970 Chilean Pesos
",SUR CAFE,,"CALLE STO. DOMINGO 598
SANTIAGO",CHILE,3.20172E+17,Restaurant-Restaurant
7/23/17,FAUNA HOTEL VALPARAISO - VALPARAISO,103.65," Additional Information: RESTAURANT 
 Foreign Spend Amount:67.430 Chilean Pesos
",FAUNA HOTEL VALPARAISO,,"PASAJE DIMALOW CERRO ALEGRE 166
VALPARAISO",CHILE,3.20172E+17,Restaurant-Restaurant
7/24/17,EL DESAYUNADOR - VALPARAISO,33.1," Additional Information: RESTAURANT 
 Foreign Spend Amount:21.530 Chilean Pesos
",EL DESAYUNADOR,,VALPARAISO,CHILE,3.20172E+17,Restaurant-Restaurant
7/24/17,LA BRUSCHETTA - VALPARAISO,54.22," Additional Information: RESTAURANT 
 Foreign Spend Amount:35.200 Chilean Pesos
",LA BRUSCHETTA,,"URRIOLA CERRO ALEGRE 688 SN
VALPARAISO",CHILE,3.20172E+17,Restaurant-Restaurant
7/24/17,LAN COM - SANTIAGO,90.01," Additional Information: LAN COM 
  From:  To:  Carrier:  Class: 
  N/A  N/A  AA  Y 
  NOT AVAILABLE 
  Ticket Number: UNAVAILABLE  Date of Departure: 07/24 
  Document Type: PASSENGER TICKET 
 Foreign Spend Amount:58.439 Chilean Pesos
",LAN COM,,"PASEO ESTADO 10 OF 10
SANTIAGO",CHILE,3.20172E+17,Travel-Airline
7/25/17,IL MAESTRALE - SANTIAGO,13," Additional Information: RESTAURANT 
 Foreign Spend Amount:8.400 Chilean Pesos
",IL MAESTRALE,,SANTIAGO,CHILE,3.20172E+17,Restaurant-Restaurant
7/25/17,TUR-BUS 78 VLPO.TNAL.L6 P - VALPARAISO,12.54," Additional Information: BUS LINE 
 Foreign Spend Amount:8.100 Chilean Pesos
",EGT 78 VALPO.TNAL.LOC.6 P,,VALPARAISO,CHILE,3.20172E+17,Transportation-Taxis & Coach
7/26/17,TUR-BUS 267 STGO.TALAMEDA - SANTIAGO,13.93," Additional Information: BUS LINE 
 Foreign Spend Amount:9.000 Chilean Pesos
",EGT TERMINAL ALAMEDA,,SANTIAGO,CHILE,3.20172E+17,Transportation-Taxis & Coach
7/27/17,COLOMBIA INT FOOD FRAN 2 - BOGOTA D.C.,8.06,"RESTAURANT
RESTAURANT
 RESTAURANT 
 Foreign Spend Amount:24,100.00 COLOMBIAN PESO
",COLOMBIA INT FOOD FRAN 2,,"AVC 26 113-85 LOCLMN10 ML
SANTAFE DE BOGOTA D.C",COLOMBIA,3.20172E+17,Restaurant-Restaurant
7/27/17,IL MERCATINO - BOGOTA D.C.,55.63,"RESTAURANT
RESTAURANT
 RESTAURANT 
 Foreign Spend Amount:165,965.00 COLOMBIAN PESO
",IL MERCATINO,,"CRA 10A 69-20 LOC 1
SANTAFE DE BOGOTA D.C",COLOMBIA,3.20172E+17,Restaurant-Restaurant
7/28/17,"AMAZON SERVICES-KINDLE - 866-321-8851, WA",11.99,"QBZIPWZ2YXL DIGITAL
DIGITAL
 DIGITAL 
 ",AMAZON DIGITAL DOWNLOADS,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
7/30/17,DELTA AIR LINES - ATLANTA,"1,696.56","18002211212
DELTA AIR LINES
From : To : Carrier : Class :
DETROIT WAYNE COUN
PARIS CHARLES DE GDLT
BANGALORE DLT
PARIS CHARLES DE GDLT
DETROIT WAYNE COUNDLK
Ticket Number :  00623916591336 Date of Departure :  0822
Passenger Name : PRASAD/NAGENDRA
Document Type : PASSENGER TICKET
 DELTA AIR LINES 
  From:   To:  Carrier:   Class:  
  DETROIT WAYNE COUN  PARIS CHARLES DE G  DL  T  
     BANGALORE   DL  T  
     PARIS CHARLES DE G  DL  K  
     DETROIT WAYNE COUN  DL  K  
  Ticket Number:  00623916591336  Date of Departure:  08/22 
  Passenger Name: PRASAD/NAGENDRA 
  Document Type: PASSENGER TICKET 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20172E+17,Travel-Airline
7/30/17,DELTA AIR LINES - ATLANTA,"1,696.56","18002211212
DELTA AIR LINES
From : To : Carrier : Class :
DETROIT WAYNE COUN
PARIS CHARLES DE GDLT
BANGALORE DLT
PARIS CHARLES DE GDLT
DETROIT WAYNE COUNDLK
Ticket Number :  00623916591325 Date of Departure :  0822
Passenger Name : PRASAD/VIKRAM SHANKAR
Document Type : PASSENGER TICKET
 DELTA AIR LINES 
  From:   To:  Carrier:   Class:  
  DETROIT WAYNE COUN  PARIS CHARLES DE G  DL  T  
     BANGALORE   DL  T  
     PARIS CHARLES DE G  DL  K  
     DETROIT WAYNE COUN  DL  K  
  Ticket Number:  00623916591325  Date of Departure:  08/22 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: PASSENGER TICKET 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20172E+17,Travel-Airline
7/30/17,ONLINE PAYMENT - THANK YOU,"-1,501.53",,,,,,3.20172E+17,
7/31/17,"AMAZON SERVICES-KINDLE - 866-321-8851, WA",9.99,"GYBASH3WWKS DIGITAL
DIGITAL
 DIGITAL 
 ",AMAZON DIGITAL DOWNLOADS,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
7/31/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",15.89,"MN9L1DS7B30 ITUNES STORE & APP ST
ITUNES STORE & APP STORE
 ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
8/4/17,"AMAZON SERVICES-KINDLE - 866-321-8851, WA",11.99,"TZRHQZUF1TM DIGITAL
DIGITAL
 DIGITAL 
 ",AMAZON DIGITAL DOWNLOADS,,"410 TERRY AVE N
-
SEATTLE
WA","98109
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
8/5/17,EPOCA ESPRESSO BAR - CARTAGENA,40.25,"ELECTRONICS STORE
ELECTRONICS STORE
 ELECTRONICS STORE 
 Foreign Spend Amount:118,546.00 COLOMBIAN PESO
",EPOCA ESPRESSO BAR,,"CLL DEL ARZOBISPADO 34-56
CARTAGENA",COLOMBIA,3.20172E+17,Merchandise & Supplies-Electronics Stores
8/7/17,"ATLANTA AIRPORT - ATLANTA, GA",8.82,"5456141 5456141 30320
5456141 30320
RESTAURANT
 5456141 30320 
  RESTAURANT  
 ",ATLANTA ARPRT FOOD/BEV,,"DNC TVL HP SRV,STE DNC01
TRL 7 T 7700 SPINE RD 3FL
ATLANTA
GA","30320
UNITED STATES",3.20172E+17,Business Services-Other Services
8/7/17,"CHIPOTLE - ATLANTA, GA",9.83,"0000010324 FAST FOOD RESTAURANT
FAST FOOD RESTAURANT
FAST FOOD RESTAURAN $0.00
 FAST FOOD RESTAURANT 
  Description  
  FAST FOOD RESTAURAN 
 ",Chipotle Mexican Grill,,"11700 SPINE RD
STE DF2 GATE D11
ATLANTA
GA","30320
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/8/17,"LIFE TIME FITNESS 11 - NOVI, MI",95.18,"187648 0000000000000000048375
0000000000000000048375
 0000000000000000048375 
 ",LIFE TIME FITNESS,,"42367 7 MILE RD
NORTHVILLE
MI","48167-2228
UNITED STATES",3.20172E+17,Entertainment-Associations
8/8/17,"ROAMRIGHT - 877-687-7170, NJ",240,"733625 TRAVEL INS.
TRAVEL INS.
 TRAVEL INS. 
 ",ARCH INSURANCE COMPANY,,"300 PLAZA THREE
JERSEY CITY
NJ","07311-1107
UNITED STATES",3.20172E+17,Business Services-Insurance Services
8/9/17,"HOUSE OF FALAFEL - Farmington Hills, MI",16.43,"I36TNE squareup.com/receipts
squareup.com/receipts
 squareup.com/receipts 
 ",HOUSE OF FALAFEL,,"21095 FARMINGTON RD
FARMINGTON HILLS
MI","48336
UNITED STATES OF AMERICA (THE)",3.20172E+17,Restaurant-Restaurant
8/9/17,ONLINE PAYMENT - THANK YOU,-750,,,,,,3.20172E+17,
8/9/17,"SHELL OIL 57444954309 - NOVI, MI",36.71,"0594952 AUTO FUEL DISPENSER
AUTO FUEL DISPENSER
 AUTO FUEL DISPENSER 
 ",SHELL,,"12700 NORTHBOROUGH
ATTN: TEXACO CHARGEBACKS
HOUSTON
TX","77067
UNITED STATES",3.20172E+17,Transportation-Fuel
8/11/17,"HLU*HULU 86911116-U - HULU.COM/BILL, CA",11.99,"SL:3:776088 HULU.COM/BILL
HULU.COM/BILL
 HULU.COM/BILL 
 ",HULU,,"2500 BROADWAY
SANTA MONICA
CA","90404-3065
UNITED STATES",3.20172E+17,Communications-Cable & Internet Comm
8/13/17,"PANERA BREAD - TROY, MI",9.35,"000000965 2485260822
2485260822
 2485260822 
 ",PANERA BREAD,,"823 W BIG BEAVER RD
TROY
MI","48084
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/15/17,DELTA AIR LINES - ATLANTA,5.6,"18002211212
DELTA AIR LINES
From : To : Carrier : Class :
N/A
N/A YY
N/A YY
N/A YY
N/A YY
Ticket Number :  0060879494104 Date of Departure :
Passenger Name : PRASAD/VIKRAM SHANKAR
Document Type : ADDITIONAL COLLECTION
 DELTA AIR LINES 
  From:   To:  Carrier:   Class:  
  N/A   N/A   YY   
  N/A  
  N/A  
  N/A  
  Ticket Number:  0060879494104 
  Passenger Name: PRASAD/VIKRAM SHANKAR 
  Document Type: ADDITIONAL COLLECTION 
 ",DELTA AIR LINES DELTA.COM,,"ATLANTA AIRPORT
-
ATLANTA
GA","30344
UNITED STATES",3.20172E+17,Travel-Airline
8/15/17,SPOTIFY USA - NEW YORK,9.99,"P0328D082B DIRECT MKTG MISC
DIRECT MKTG MISC
 DIRECT MKTG MISC 
 ",SPOTIFY MUSIC SUBS USD RECURRING,,"4TH, 25 ARGYLL ST
LONDON","W1F 7TU
UNITED KINGDOM OF GB AND NI",3.20172E+17,Merchandise & Supplies-Music & Video
8/15/17,"TACO BELL #21488 2148 - WALLED LAKE, MI",7.4,"0976740 248-669-5392
248-669-5392
FAST FOOD RESTAURAN $0.00
 248-669-5392 
  Description  
  FAST FOOD RESTAURAN 
 ",Taco Bell,,"1163 E WEST MAPLE RD
WALLED LAKE
MI","48390
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/15/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",0.99,"MN9LK6XKWY0 ITUNES STORE & APP ST
ITUNES STORE & APP STORE
 ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
8/16/17,"BUSCH'S - NOVI, MI",17.16,"000424031 2483480708
2483480708
 2483480708 
 ",BUSCH'S FRESH FOOD MARKET,,"41840 W 10 MILE RD
NOVI
MI","48375
UNITED STATES",3.20172E+17,Merchandise & Supplies-Groceries
8/16/17,"SPEEDWAY 02202 10 542929809022023 - NOVI, MI",34.62,"816364431 2483480660
2483480660
AUTOMATED FUEL DISP $34.62
 2483480660 
  Description   Price 
  AUTOMATED FUEL DISP  $34.62 
 ",SPEEDWAY,,"500 SPEEDWAY DR
ENON
OH","45323-1056
UNITED STATES",3.20172E+17,Transportation-Fuel
8/17/17,"LOWE'S - SOUTHFIELD, MI",50.39,"INV # 07659 248-208-0010
248-208-0010
 248-208-0010 
 ",LOWES OF SOUTHFIELD,,"28650 TELEGRAPH RD
-
SOUTHFIELD
MI","48034-1934
UNITED STATES",3.20172E+17,Merchandise & Supplies-Hardware Supplies
8/17/17,"MEX - BLOOMFIELD HI, MI",19,"2487524276
2487524276
 2487524276 
 ",MEX,,"6675 TELEGRAPH RD
BLOOMFIELD HILLS
MI","48301-3067
UNITED STATES",3.20172E+17,Restaurant-Restaurant
8/17/17,"PIZZA HUT - FARMINGTON, MI",28,"224C95 248-474-1601
248-474-1601
FOOD/BEVERAGE  $0.00
 248-474-1601 
  Description  
  FOOD/BEVERAGE  
 ",Pizza Hut,,"38300 W 10 MILE RD
FARMINGTON
MI","48335-2804
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/19/17,"GREAT LAKES ACE HARDWARE - NOVI, MI",8.47,"324672 248-348-4255
248-348-4255
HARDWARE/TOOLS  $0.00
 248-348-4255 
  Description  
  HARDWARE/TOOLS  
 ",GREAT LAKES ACE HARDWARE,,"41800 W 10 MILE RD
NOVI
MI","48375-3386
UNITED STATES",3.20172E+17,Merchandise & Supplies-Hardware Supplies
8/19/17,"MENARDS WIXOM MI 000003320 - WIXOM, MI",43.66,"00187594501 8000000000
8000000000
REFER TO RECEIPT  $0.00
 8000000000 
  Description  
  REFER TO RECEIPT  
 ",MENARDS,,"10400 ASSEMBLY PARK DR
-
WIXOM
MI","48393
UNITED STATES",3.20172E+17,Merchandise & Supplies-Hardware Supplies
8/19/17,"SUBWAY - NOVI, MI",7.82,"018950998 248-3442510
248-3442510
Fresh Food  $7.82
 248-3442510 
  Description   Price 
  Fresh Food   $7.82 
 ",Subway,,"41736 W 10 MILE RD
NOVI
MI","48375
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/19/17,"TACO BELL - WIXOM, MI",10.14,"048080265 000-0000000
000-0000000
MERCHANDISE  $10.14
 000-0000000 
  Description   Price 
  MERCHANDISE   $10.14 
 ",Taco Bell,,"28020 S WIXOM RD
WIXOM
MI","48393-3404
UNITED STATES",3.20172E+17,Restaurant-Bar & Café
8/20/17,"The Bird & The Bread - BIRMINGHAM, MI",25,"85133317232 248-752-8143
248-752-8143
 248-752-8143 
 ",THE BIRD & THE BREAD,,"210 S OLD WOODWARD AVE
BIRMINGHAM
MI","48009-6120
UNITED STATES",3.20172E+17,Restaurant-Restaurant
8/22/17,ONLINE PAYMENT - THANK YOU,"-3,000.00",,,,,,3.20172E+17,
8/22/17,"TARGET - NOVI, MI",8.43,"01611067 DISCOUNT STORE
DISCOUNT STORE
 DISCOUNT STORE 
 ",TARGET,,"27100 WIXOM RD
NOVI
MI","48374
UNITED STATES",3.20172E+17,Merchandise & Supplies-Wholesale Stores
8/31/17,"WWW.ITUNES.COM/BILL - CUPERTINO, CA",15.89,"MN9M772D9Z0 ITUNES STORE & APP ST
ITUNES STORE & APP STORE
 ITUNES STORE & APP STORE 
 ",WWW.ITUNES.COM/BILL,,"12545 RIATA VISTA CIRCLE
AUSTIN
TX","78727-5205
UNITED STATES",3.20172E+17,Merchandise & Supplies-Internet Purchase
9/1/17,"LifeTimeFitness.COM - 888-430-6432, MN",10,"109076822-2MONTHLY DUES
MONTHLY DUES
888-430-6432
 MONTHLY DUES 
  888-430-6432  
 ",LifetimeFitness.COM 888-430-6432,,"2902 CORPORATE PL
CHANHASSEN
MN","55317
UNITED STATES",3.20172E+17,Entertainment-Associations
9/6/17,"GOOGLE *GOOGLE STORAGE - 855-836-3987, CA",1.99,"A06OJ52U SELLER
SELLER
 SELLER 
 ",GOOGLE SERVICES,,"1600 AMPHITHEATRE PKWY
MOUNTAIN VIEW
CA","94043-1351
UNITED STATES",3.20173E+17,Business Services-Internet Services
9/6/17,PAYMENT RECEIVED - THANK YOU,-501.9,,,,,,3.20173E+17,
9/7/17,"ROJO MEXICAN BISTRO - ROJO MEXICAN BI - BIRMINGHAM, MI",18,"32173927251 RESTAURANT
RESTAURANT
TIP2.64
TIP0.00
TIP0.00
TIP0.00
 RESTAURANT 
  TIP  $2.64 
 ",ROJO MEXICAN BISTRO,,"250 E MERRILL ST
BIRMINGHAM
MI","48009-6106
UNITED STATES",3.20173E+17,Restaurant-Restaurant
